#;Status;Priority;Subjet;Resource;Tipo de Asset;Updated;Last Seen;Date Found;CVSS Score de la Herramienta;CVSS Score;Puntaje Ponderado;Pertenece a Investments;Negocio
14493;Confirmed;Medium;Microsoft Exchange Server Remote Code Execution (ProxyShell);10.220.111.196:57649;IP Externa;12-11-2024;02-05-2024;01-01-2024;64;50;Si;No;
14493;Confirmed;Medium;Microsoft Exchange Server Remote Code Execution (ProxyShell);10.220.111.196:57649;IP Externa    ;12-11-2024;02-05-2024;01-01-2024;64;50;Si;No;
20135;Confirmed;Medium;Linux Kernel < 5.10.4 Vulnerabilidad de Dirty Pipe;192.168.58.183:46684;IP Externa;12-11-2024;02-05-2024;07-05-2024;23;22;Si;No;
20135;Confirmed;Medium;Microsoft Windows SMBv3 Remote Code Execution (EternalBlue);192.168.58.66:49663;IP Externa;12-11-2024;02-05-2024;07-05-2024;23;22;Si;No;
26679;Confirmed;High;Splunk < 8.2.2 Vulnerabilidades Mœltiples;10.220.55.43:23980;IP Externa;02-08-2024;18-09-2025;03-05-2024;81;72;Si;No;
26947;Confirmed;High;Atlassian Jira Server < 8.13.6 Vulnerabilidad de Inyecci—n de Plantillas;http://innovatec.cl/5w9gc4wa;IP Externa;09-08-2025;13-12-2024;15-07-2024;74;86;Si;No;
89444;Mitigated;Medium;Microsoft Exchange Server Remote Code Execution (ProxyShell);https://accesototal.cl/z7r3mmox3;IP Interna;20-05-2024;27-08-2024;28-05-2024;57;69;Si;No;
83901;Confirmed;Low;Redis < 6.2.5 Vulnerabilidad de Desbordamiento de Bœfer;https://sistemasweb.cl/7v45z9tt;IP Externa;28-02-2024;03-05-2024;20-02-2024;36;28;Si;No;
18479;Confirmed;Critical;Firewall: Pol’tica 'ANY-ANY-ALLOW' Detectada;192.168.230.36:58034;IP Externa;13-06-2024;08-07-2024;11-03-2024;94;94;Si;No;
43430;Confirmed;Critical;Microsoft IIS Server Mœltiples Vulnerabilidades (HTP.sys);192.168.74.144:21804;IP Externa;28-08-2025;14-09-2024;24-08-2024;96;90;Si;Si;Investments Chile
31382;Confirmed;Medium;Oracle WebLogic Server < 14.1.1.0.0 Vulnerabilidad de Deserializaci—n (CVE-2020-14882);192.168.64.194:45673;IP Externa;18-04-2024;11-06-2024;01-11-2024;44;44;Si;No;
70716;Confirmed;Medium;PostgreSQL < 13.4 Vulnerabilidades Mœltiples;136.194.201.224:50603;IP Externa;01-09-2024;10-04-2025;04-02-2024;41;43;Si;No;
80628;Confirmed;Medium;PostgreSQL < 13.4 Vulnerabilidades Mœltiples;192.168.243.111:37490;IP Externa;13-07-2024;03-07-2025;03-11-2024;56;55;Si;No;
44504;Confirmed;Medium;Oracle WebLogic Server < 14.1.1.0.0 Vulnerabilidad de Deserializaci—n (CVE-2020-14882);120.157.91.226:38049;IP Externa;27-01-2024;28-02-2025;28-09-2024;55;54;Si;No;
53612;Confirmed;High;SNMP Agent 'private' Community String Habilitado (Escritura);192.168.17.231:46352;IP Externa;21-04-2024;29-12-2024;15-05-2024;84;73;Si;No;
